articleID1,articlePage1,articleID2,articlePage2,orgConcept1,orgConcept2,Score
13673345,Car,13673345,Car,automobile,car,3.92
12806,Gemstone,12806,Gemstone,gem,jewel,3.84
155747,Travel,155747,Travel,journey,voyage,3.84
194253,Boy,194253,Boy,boy,lad,3.76
5236,Coast,5236,Coast,coast,shore,3.7
38722,Psychiatric_hospital,38722,Psychiatric_hospital,asylum,madhouse,3.61
7689495,Magician_(fantasy),7689495,Magician_(fantasy),magician,wizard,3.5
209005,Noon,209005,Noon,midday,noon,3.42
238150,Furnace,556358,Stove,furnace,stove,3.11
10646,Food,10843,Fruit,food,fruit,3.08
3410,Bird,26574,Rooster,bird,cock,3.05
3410,Bird,198041,Crane_(bird),bird,crane,2.97
4098495,Brother,419369,Monk,brother,monk,2.82
4098495,Brother,194253,Boy,brother,lad,1.66
13673345,Car,155747,Travel,car,journey,1.16
419369,Monk,22589,Oracle,monk,oracle,1.1
63752,Cemetery,66986,Woodland,Cemetery,Woodland,0.95
10646,Food,26574,Rooster,food,rooster,0.89
5236,Coast,1408983,Hill,coast,hill,0.87
11090,Forest,63752,Cemetery,Forest,Cemetery,0.84
47777152,Shore,66986,Woodland,Shore,Woodland,0.63
419369,Monk,27992,Slavery,monk,slavery,0.55
194253,Boy,7689495,Magician_(fantasy),lad,wizard,0.42
5236,Coast,11090,Forest,coast,forest,0.42
12581,Glass,7689495,Magician_(fantasy),glass,magician,0.11
26574,Rooster,155747,Travel,rooster,voyage,0.08
